text;label
"Marcus   we need a fix for this - if you can check in we will test it  thanks /sudha";
"Add CRC32C as another DataChecksum implementation.";
"Contributed by Todd Lipcon.";
"Not a SWF issue.";
"Please open with Spring Framework.";
"Issue is also present at JPP 6.0 ER02";
"Fixed with revision 164512.";
"Added org.jboss.test.ejb3.war.deployment.unit.Ejb3WarDeploymentTestCase in r99656.";
"Also see issues like SOLR-2608 that are ignored, i've been running lucene tests in a loop on and off for periods, and basically gave up on solr tests aswel, they randomly fail all the time";
"This one... Really.";
"Thanks Uwe!";JOY
"Alright, I'll put this and HBASE-8453 in through trunk today.";
"Sorry, I realise now that ""does not work"" was insufficiently specific.";
"Seems to be working just fine.";
"Code looks cool.";JOY
"It looks pretty bad.";
"[~maxandersen] please review";
"Corrected error in comment - please use this one.";
"hbase org.apache.hadoop.hbase.PerformanceEvaluation --nomapred --rows=250000 randomRead 16  10k regions, 5 RS.";
"I tested HBASE-9609 and it does seem to make a huge difference!";
"Cool - good information to have.  Thanks Lance!";JOY
"I integrated the submitted patch in the new JBW, but did not really test it.";
"Nobody has complained about it yet, but I don't think it should be ported to older versions at this time.";
"[~saturnism] agreed.";
"# Javadoc in InterDatanodeProtocolServersideTranslator refers to JournalProtocl.";
"Shelly use JBAS-5873 for the matrix tests :)";
"Sanjay, your patch is missing the AuthenticationFilterInitializer.java file";
"The pb is not in ApacheDS, but in the startup delay.";
"Hey very cool. ";JOY
"Thanks, Raymond";
"I'll try it on our Fedora.";
"Hi guys,  I agree 100% on this.";
"Just a note, there was a long conversation about this here: https://reviews.apache.org/r/4655/ and this is a dup of FLUME-1089.";
"Hi, very cool!";JOY
" I like the elegant parser!  ";JOY
"Based on review comment, add ""respBody.hasPublishResponse()"" before returning respBody.getPublishResponse()";
"using g++ (GCC) 4.1.2 20080704 (Red Hat 4.1.2-48) and cppunit 1.12.1.";
"Next try, r1475799 in santuario.";
"Here's a patch that adds in support for SGD.";
"Fixed in trunk -r746186.";
"Carl, can you review? ";
"I haven't fully grok'd the entire issue yet but have a quick comment: 2.0 was released several months ago...it's not 2.0-alpha-5-SNAPSHOT.";
"is it essue still open?";
"Thanks for fixing it so quickly!";JOY
"Bozhidar: I agree with your assessment.";
"Jonathan: over to you :)";JOY
"On 2008-04-03 15:57:26.514 laupark commented: Opened.";
"On 2008-04-04 13:31:57.627 jimurphy commented: fixed rev.";
"196883 On 2008-04-08 08:38:58.599 wichan commented: Still couldn't find the swfUtils.jar in the webtier.war ad flex-for-cf.zip On 2008-04-09 07:51:01.799 ccreanga commented: Fixed - swfutils.jar was not included in the war";
"The code should work.";
"The API need to be checked and those errors (ie PDU has been fully decoded ...) have to be fixed.";
"We wil investigate what's going on.";
"Thanks for the report !";
"This patch should do the trick.";
"Cool, looks good.";JOY
"A test case is needed too";
"I suggest, that you have a closer look at the exception.";
"The absolut portion of the path *is always prepended*.";
"Cool. sounds good to me.";JOY
"So any of your suggestions do not help.";
"Assume closed as resolved and released";
"PR https://github.com/SpringSource/spring-integration/pull/621";
"Hi Carlos, This looks awesome! Lots of cool stuff.";JOY
"I committed patch _c with revision 697897.";
"Note, that as indicated before, JVMInfo still is part of derbyclient.jar (I assume because of the need to support sysinfo).";
"Committed to trunk and 0.21 branch.";
"Thanks Amar!";
"An awesome feature of Hive is the rich type system with excellent support for complex data-structures.";
"Waaaaay cool! I especially like the ""upload file"" option.";JOY
"Solomon, That is very slick.";
"I tested it and it works fine.";
"Thank you.";
"Chris, This might be a useful technique to add to the documentation or to a HOWTO on the SJC wiki (when / if there is one)  Thanks all.";
"Committed after fixing the typo.";
"One minor point - can you make result a member variable of GenericUDFArrayContains?";
"This will reduce object creation.";
"The patch needs to be regenerated against the current trunk, but otherwise looks good.";
"cool stuff! a good candidate to put on myfaces-commons-utils, so the user can just add the resource handler on its webapp faces-config.";JOY
"Thanks, Kristian.";
"Committed revision 1341814.";
"Deleted spurious 'Added: svn:executable' from the patch.";
"The .md extension is used for the readme because it's in MarkDown format, used by GitHub.";
"See the following page for an example:  https://github.com/seam/examples/tree/master/booking";
"It is completely expected an updatesite.zip for all of devstudio is *bigger* than the installer.jar ";
"I presume so.  ";
"updating, minor errors in pdf doc";
"Yup instruction are not correct.";
"""That said, check out setReadLength in TBinaryProtocol.""";
"I have committed this.";
"Thanks, Daryn!";JOY
"Also thanks Matt for the review.";
"Yup, I'll get it in today.";
"Fixed in r544";
"Yeah, it looks like there are conflicts with RenderingContentRewriter and one of the guice modules.";
"Committed to Trunk.";
"Thanks for the reviews..";JOY
"Atlassian 3.2 is in Central.";
"Missfire";
"Wow, thanks Raghu, that's awesome and will save me a ton of time. ";JOY
"closed with no testing, Ian says this is a code-level change.";
"When the order of methods change, so the rendering of fragments is bellow the definition, then it works fine.";
"Two git commits included.";
"Abandoned; no longer necessary.";
"So very cool, and so very committed-- thanks Matthias, this is awesome.";JOY
"Took me a few seconds to get it, but then I realized how awesome it is.  ";JOY
"I'm happy to use it as the standard logo (i.e. website, etc.).";JOY
"I'm giving this up hoping someone confident in Swing would look into it.  ";
"Have you been able to work on that ?";
"Do you need any help?";
"Hi Matt,  Thank you for fixing this issue.";
"I will use it when it will be included in a future release.";
"Committed the addendum in revision 1414868.";
"Thanks for pointing out this (rather embarrassing) oversight!";
"Fixed for both 2.0 M4 and 1.2.8.";
"Amila, Could you please check my fix?";
"http://svn.apache.org/viewvc?view=rev&revision=468444  Deepal, Thanks!";JOY
"Hi Drew,  I have upgraded Postage to James3 (see POSTAGE-23) and used your patch at this occasion.";
"Awesome stuff Stephen! ";JOY
"Looks like we have already taken care of this.";
"are any changes needed to dd2spring for this?";
"I suggest making a tooltip with the title of the context help article (a popup)  when the user hovers the question mark icon.";
"We'll go with this for now, thanks for the fix!";
"Ran some benchmarks.";
"When the modulus is large, which means that number of collisions is small, LightWeightGSet is much better than GSetByHashMap.";
"added fixVersion";
"Rolled over to 0.5.5 to get a stable JavaOne release out";
"Can you expand on the difference between a Prepared Statement and a Logical Prepared Statement?";
"And also on the difference between a Connection and a Logical Connection?";
"Are these already-existing concepts in the client?";
"Or did you introduce these concepts?";
"Thanks! ";
"Thanks Alexei, the patch is fine. ";JOY
"how does your application.cfc looks like (ormsettings)?";
"I think Jason has done this already?";
"canceling";
"Awesome co-op. Thanks, Robert & Mike, for picking this up.";JOY
"We'll take a look for 1.21.";
"Thanks Matt, Todd and Cos!";
"From https://builds.apache.org/job/PreCommit-HBASE-Build/2581/console, it is not clear which test hung.";
"Committed the patch with thanks to Christian.";
"Sangwon Seo, Thanks for your review.";
"Could you give me more comments? ";
"fixed.";
"This obsoletes ~/.m2/maven.properties";
"The last bug I see mentioning a HSQL upgrade was JBAS-1618 which ended up with 1.8 RC9.";
"However, this bug mentions that we were upgrading from 1.8.0.2 to 1.8.0.7.";
"When did 1.8 RC 9 get upgraded and where is it tracked/documented?";
"Done in Weld and TCK";
"Applied patch.";
"Thanks.";
"And many thanks to you Olivier for applying this so quickly!";
"Cheers!";JOY
"quick patch.";
"What's the operation?";
"I just committed this to trunk and branch-0.23.";
"Thanks Sid!";
"Thanks for testing, but please don't close it yet.";
"Fixed; trunk r910567";
"For _ExternalSpecifications there is already an issue in the JIRA: MYFACES-2582";
"Thank you.";
"Issue has been resolved.";
"A new patch including some corrected Japanese sentences and a link to Solr Wiki.";
"All log statements should now be surrounded by log guards.";
"Horia Chiorean <hchiorea@redhat.com> made a comment on [bug 1014709|https://bugzilla.redhat.com/show_bug.cgi?id=1014709]  https://github.com/jboss-integration/modeshape/commit/d1d97180c957491bee3654743ebd4a6860314ad3";
"Thanks Galder:)";JOY
"Daryn, the current patch looks good.";JOY
"Thanks!";
"Used the new attribute to move ObjectStoreDir from bin to server/xxx/data/tx-object-store";
"Please also see Glassfish issue 13111: https://glassfish.dev.java.net/issues/show_bug.cgi?id=13111";
"Committed as r1382016.";
"Thanks Sijie.";
"Joram, notify Jennifer Vennable when you completed this.";
"Never mind, found it.";
"Changes applied in revision 1369338.";
"Many thanks.";
"Monitor no longer based on protobuf.";
"periodic bulk close of resolved issues. ";
"Thank you!";
"It's working like a charm.";
"The b-1.0 patch also applies to branch-1.";
"Sounds good.";JOY
"I too have been busy on other projects.";
"I'll try and test with queryIndexesRebuiltSynchronously false today.";
"fancy applying this patch before 1.3.0?";
"applied patch (thanks) in r1055887";
"Hi Jaikiran,   Didn't you already fix this one?";
"Thanks!";
"Dona, Thiru: can one of you (or anyone else) please review this?";
"05 was committed in r613384";
"committed to TRUNK (m3)";
"This is awesome!";JOY
"v2 Looks good to me.";JOY
"applied.";
"Thanks!";
"Closing this issue, Jacopo fixed it at r1345528.";
"Thanks Jacopo.";
"Add EnumSetWritable.";
"Contributed by He Yongqiang ";
"I'm closing this for the time being, as we've reopened SPR-368.";
"Applied Rodrigo's suggestions";
"This was found in via JBossWS CXF so once we've pulled it in to JBoss and tested I'll let you know if there's any issues.";
"Thanks for the quick response Colm.";
"Hullo?";
"Could you open a ticket for this (last comment) Tnx micha";
"Hi Thomas, it's here:  https://svn.jboss.org/repos/common/common-old/branches/Branch_1_0/";
"Hey, you're right, that idea was probably not the best approach to the problem - 0.6 looks really nice, looking forward to it :)";JOY
"Indeed!";
"This is actually the case in 2.0.5 already.";
"Thanks for spotting this, Philipp!";
"It seems that using {{BufferedOutputStream}} is a better solution since it will also help other operations.";
"BTW, do you know why there are four one-byte packets?";
"fixed style";
"Dupe of CASSANDRA-4042 (we'll include the BF fp change there)";
"I think this looks like the same issue as  [MFINDBUGS-55|http://jira.codehaus.org/browse/MFINDBUGS-55]  Garvin ";
"Changed contributed by from Arpit Agarwal to Arpit Gupta.";
"(Revision 1450575) HADOOP-8917.";
"add LOCALE.US to toLowerCase in SecurityUtil.replacePattern.";
"Contributed by Arpit Agarwal.";
"Marc, you're re-logging your ownn issues :)";
"Patch now applies cleanly against latest version of trunk.";
"Bounce to Doug as this is a SOA issue.";
"Thanks, I just committed the patch.";
"However, I cannot see errors in lucli, can you make a patch for those cases, too? ";
"Thanks for moving so quickly on this guys.";JOY
"Look forward to seeing it resolved in 3.3.2.GA!";
"On trunk apparently all use of the ""get"", ""put"", and ""delete"" histograms have already been removed from the regionserver, except for the Jamon templates.";
"Since an approach to put back two such HRegionInterface level measurements with a query/mutate distinction has been +1ed on this issue I'm going to put them back on trunk and port back the changes to 0.94.";
"Calling them queryRequestLatency and mutateRequestLatency in RegionServerMetrics.";
"This blog post speaks briefly about colocation, and how this can be achieved using AtomicMaps.";
"Thanks Daryn!";
"for taking a look.";
"I just committed this.";
"Thanks, Sanjay!";JOY
"#NAME?";
"After several retries seems we are unable to proceed with releng team to get supported solution.";
"Will setup mirroring to Brno QA lab.";
"Thanks Claus.";
"If somebody can better formulate my above fragment and place it somewhere in wiki it would be great.";
"I have throuroughly documented this in the XWorkConverterTest, see testStringToInt, testStringToInteger, testStringToPrimitiveDouble and testStringToDouble.";
"If you feel like adding this to the showcase than go on.";
"cheers,  ./alex -- .w( the_mindstorm )p. ";
"Cool, thanks Daniel, we're actually cool with either updating it to e9ff8c4928 or flipping the write bit and we'll push the delta ourselves - whatever's the fastest to get to writeable:)  Thanks, --tim";JOY
"I think the HttpClients service interface must be exported for it to be used.";
"On the other hand the BundleActivator should not be exported and can as well be moved to the osgi.impl package.";
"Done at revision 1582 - 1585";
"Closing as fixed in trunk.";
"Reopen if I'm mistaken.";
"We have an HTTP discovery agent in activemq-http no other activity on this issue so closing for now.";
"Although the older patch applied fine for me (patch -p1).";
"This is a great suggestion.";JOY
"jBPM already works this way.";
"Thanks Amar!";
"Would your use case be covered by adding a TTL to CF?";
"Because that seems like the natural level of granularity for this to me.";
"Looks like Forge isn't used at companies having a firewall.";
"Attached patch for Myfaces.";
"the  repairment to BlueSky official website Downloads.html and MailingLists.html  thebluesky group an use the patch freely";
"adding --rsyncable to our build system, does not seem to be a big task, I am experimenting with it.";
"seen from my chair, this is a very elegant solution, until we can really split our distribution into smaller files (exe + langauge packs) and have a meta installer that combines what the user want. ";
"Regenerated patch with trunk and with an indentation change.";
"Spoke too soon!";
"The SocetException is still there sporadically.";
"This adds testing of the RegionSplitsTracker.";
"I committed the patch to trunk.";
"Thank you Ivan!";
"Thanks Daryn for the review.";
"If possible, let's schedule to 0.4";
"Whoops, yeah, sorry.";
"Agreed, wildcards (*, ?)";
"are enough for this, rather than full blown regexp.";
"It's also easier then to tell a wildcard-based config from a normal one.";
"Feature verification is completed including Upgrade.";
"hence closing the ticket.";
"This issue is being tracked by other JIRAs now.";
"RB at https://reviews.apache.org/r/15607/";
"I just committed this.";
"Thanks, Scott!";
"Sonar does not use JavaNCSS at all !";
"The 0.23 patch looks fine.";
"I also tried to resolve merge conflicts and ended up with pretty much the same patch as yours.";
"The only significant code difference seems to be in getBlockLocations().";
"Thanks for the patch.";
"It was applied with minor changes in 2.1.10-dev and 2.2-dev.";
"Please reopen the issue if needed.";
"fixed in 1.8. checking in javadoc fixes momentarily";
"Committed in r14473 on trunk and r14474 on 2.0.x.";
"I know this hasn't been looked at in quite a while.";
"I can't see the current GOP and GKOP being completely replaced but there may well be some areas where your code could be incorporated.";
"It would help considerably if you could explain what the problem was/is with finite sized pools and the current implementation.";
"Without an explanation of what the issue is, this issue is likely to remain dormant or just be closed as won't fix.";
"Same in problem in SQLServer, solved with catalog=null and schema=""%""";
"Done as part of Felix resolver integration";
"Latest commits now include filemgr and workflowmgr integration.";
"The work in progress archetype is now committed in the trunk (http://svn.apache.org/repos/asf/oodt/trunk/mvn/archetypes/radix/).";
"Bharath,  Since all of this work's goal was done - can this be closed?";
"Thanks for Paul King's advice, I tried 1.6.3 again with groovy.bat.";
"groovy.bat don't have this problem, so the problem is from the native launcher.";
"Closing as dupe.";
"great, thanks Joel.";JOY
"Marek Novotny <mnovotny@redhat.com> made a comment on [bug 883918|https://bugzilla.redhat.com/show_bug.cgi?id=883918]  This will be fixed/upgraded to GWT 2.5 in WFK 2.3.";
"Per DoÄŸacan's comment, we need to reopen this and test out his new patch for it.";
"Andrzej, I'd be happy if you reassigned to you, however, I will have some time on Tuesday to look at this if you don't until then.";
"latest from RB";
"commit fix http://svn.apache.org/viewvc?rev=729857&view=rev to nmr project http://svn.apache.org/viewvc?rev=729894&view=rev to features project";
"Robbie,  Could you please review and commit the patch?";
"Hmm, it did work on monday for me; strange, I'll have a look at it right now";
"reviewed and committed patch.";
"Thanks Charitha.";
"Added to portletswap, but not the distro until we have themed groupings.";
"Thanks for reporting.";
"Yeah classloading in JBoss is a bit tricky :)";
"Thanks for reporting, solved!";JOY
"Applied slightly modified patch in [r18180|http://fisheye.codehaus.org/changelog/mojo/?cs=18180].";
"Thanks!";
"[~ashutoshc] Thanks.";
"The rpc changes look good to me in the patch (smile)";
"I will rewrite that part.";
"Scratch that, this fails horribly after the change to unparsing negative numbers as hex.";
"Fixed in next savara release.";
"Some more work towards full SAAJ 1.3 implementation.";
"Patch for 0.96 corresponding to latest trunk patch.";
"it belongs to faces 1.2 :)";JOY
"Thanks Amit,  Your patch is in trunk at r832776, R9.04 r832779 ";
"We decided not to support jdk13 jvms with 10.3, so there's no point in attempting to change anything at this point.";
"OK thanks for the review guys!";
"I'll commit soon.";
"Patch committed.";
"Ok cool, this is just a matter of adding strings to the various [NotFound()|https://github.com/apache/mesos/blob/0.15.0-rc4/src/files/files.cpp#L160] returns in files.cpp  There are a number of error cases in the [browse|https://github.com/apache/mesos/blob/0.15.0-rc4/src/files/files.cpp#L204] and [read|https://github.com/apache/mesos/blob/0.15.0-rc4/src/files/files.cpp#L204] endpoints, I'd imagine one could change the javascript to generate bad requests which should be sufficient to test this :)";JOY
"Thanks Hari!";
"Ping?";
"Did you manage to create a test program?";
"It looks like there is an unencodable character.";
"JMX support will be implemented with the remoting project.";
"cool, no worries.";JOY
"As of the new log4j DSL this is not an issue";
"Tested by submitter.";
"I just committed this.";
"Thanks, Amar - this was a long-drawn affair!";
"Fixed for exclusion: http://svn.apache.org/viewvc?view=revision&revision=1539249";
"Hi  Thanks for your help testing this stuff.";
"I did a review and I found the problem is not on tomahawk.";
"Really it is a side effect of the browser (IE 7 and IE 8).";
"In few words, onchange event is not published until the checkbox lost focus.";
"I'll close this issue as won't fix, but anyway I commit the fix on tomahawk examples.";
"89 and 90 look fine.";
"Cool feature!  Performance:  - It looks like scripts are read from the resource loader and parsed again (eval) for every update request.";JOY
"Yes, this was fixed through Yecht.";
"Should be fixed with DOXIA-390, I added your test case.";
"Thanks!";
"all history lost?";
"for example: https://github.com/hibernate/hibernate-core/commits/3.6/hibernate-testsuite/pom.xml https://github.com/hibernate/hibernate-core/commits/3.6/testsuite/pom.xml";
"Review board: https://reviews.apache.org/r/15335/";
"I just committed this.";
"Thanks, Amar!";
"patch reviewed and applied by Eoghan with r502283";
"Extra javadoc added";
"Thanks Ram,  That seems like a definite improvement.";JOY
"Interesting that you decided not to detect the error based on finding two similarly-named operations.";JOY
"I wonder if there are any advantages to your way of doing it over mine, but I think yours will definitely work to detect the error cases I had in mine.  ";
"Fair enough.";
"Hello Bhumir,  I think Ivan is right - can you try to test your case with the complete version of log4php, not only the files I have mentioned.";
"Thanks for you patience - this is a nasty issue.";
"Cheers Christian";
"committed r1296706.";
"both patches applied, looks good.";
"This never got into Indigo - pusihing for it to go into Juno.";
"I'm not convinced making GrailsApplication serializable is a good idea.";
"You ""workaround"" of making it transient is the correct solution. ";
"It applies, thanks.";
"TestMultiColumnScanner has been committed to trunk.";
"it is fixed by r1358 in jbossweb  2.1.x.";
"Unsetting Fix Version on unassigned issues.";
"Excellent, the performance is much better.";
"Committed.";
"Bulk close for 3.1";
"[~lfryc], [~bleathem], [~ppitonak] Do you think guys that those page fragments methods which depend on JSON parsing - aka various {{setupFromWidget}} should throw {{UnsupportedOperationException}} till this issue is resolved ?";
"IMHO not, as we can quite quickly implement this, right ?";
"Applied patch with thanks to Oliver.";
"Bulk close for Solr 1.4";
"Hi Oleg  Would you be able to review this one?";
"thanks asankha";
"Yeah, this was a word which somebody had looked up in Dacco.";
"I saw 'acusament de recepciÃ³' in the GDLC but I wasn't certain what it was in English.";
"Perhaps 'acknowledgement slip' would be the most commonly used term in English?";
"Applied the same fix as in issue 25001  http://cvs.apache.org/viewcvs.cgi/jakarta-commons/dbcp/src/java/org/apache/commons/dbcp/datasources/PerUserPoolDataSource.java?r1=1.10&r2=1.11&diff_format=h ";
"Postponed to 2.0.0-RC1";
"fixed by Shane.";
"Steve, can you clarify?";
"I'm not seeing how including a dependency would alter the fundamental behavior of createLink() and createLinkTo() requiring a request object.";
"Here are my thoughts about how it can be approached.";
"Fine with me. ";
"On the recommendation of Weinan";
"Resolved in commit 5260 (patch by Vladimir Sizikov)";
"Patch submitted.";
"Please review.";
"Thank you.";
"I filed bug # 42715 with ASF Bugzilla about the ant.version issue.";
"Seems fine to me.";
"Thanks for looking after this.";
"I will be working to integrate this when I am back in CA.";
"Thanks Andy.";
"Added as a subtask [HBASE-6157] to this parent jira.";
"Hope that should be fine.";
"I added the PDType1CFont patch in revision 1425301";
"Clocked asyncs are fixed in r19148.";
"Since we will have another RC, we decided to include this change in 1.5.2.";
"Attaching patch which incorporates Hemanth's comments.";
"Documentation is still a bit lacking";
"Don't absue the ticketing system";
"I committed {{BasicFunctionalityTest.testHTMLStrip()}} to branch_3x - it succeeds for me with no changes required.";
"The per invocation timeout facility has been added for the rmi and sslrmi transports.";
"Unit test: org.jboss.test.remoting.transport.rmi.timeout.RMIPerInvocationTimeoutTestCase.";
"Thanks for the answer Mohammad wrk.";
"Indeed this saved some time.";
"Looks like this was fixed in HDFS-3966 (For branch-1, TestFileCreation should use JUnit4 to make assumeTrue work).";
"I'm envisioning something like `hdfs dfsadmin -fetchimage <local path>' which would use the existing GetImageServlet to download the fsimage over HTTP, saving it at <local path>.";
"I'm kinda dissapointed.";
"I'm using jruby.bat from jruby 0.9 and it works fine.";
"applied Marnix's patch to trunk.";
"url: https://192.168.124.100/sdk/vimService, username: Administrator, password: C******";
"Note, this used to work fine in 2.7, looking at ""git blame"" output it would seem the regression happened as Niels added support for 3D bboxes";
"patch looks good.";
"+1 thanks Ivan.";
"Koji Noguchi, I think this was fixed.";
"I don't see the issue on trunk.";
"Just realize that.";
"Thanks!";
"Can you show me which jira fixed this?";
"I should have tested with trunk before creating this jira.";
"I think I even tried with pig-0.11 to confirm the problem.";
"I'm sorry for the confusion.";
"Thanks Ittay.";
"Can you provide a little more context on this please...   1.";
"Under what runtime conditions are you seeing this.?";
"2";
"Would you have a test that we can use to reproduce?";
"Verified.";
"It's OK.";JOY
"Thanks very much!";
"The -branch-18 patch does not apply to Hadoop 0.18.3.";
"The only definitions of ""OutputStream baseStream"" are in run(), copyBlock(), and readBlock().";
"Raghu, am I correct here?";
"Resolving the issue as the patch was applied to Airavata trunk.";
"I see FilteringTokenFilter has a similar first token pos incr fixup, so this problem is handled in at least one other filter.";
"I'll take a broader look tomorrow. ";
"Jacques, if you create separate issues for the erros (icluding the logs) I can take a look them.";
"Thanks for your vote.";
"Any other opinions about the patch?";
"+1 for the patch.";
"Committed to trunk.";
"Thanks Arpit!";
"I think your logic is right.";
"This is what I understand.";
"1";
"FileSystemView is the user file system view so it can have canDelete() and canRead() methods ..... this is fine.";
"2";
"FileSystemView can have user object to indicate whose file system view it is representing.";
"3";
"In that case, caching will be at the FileSystemView level (not at FileObject level).";
"Logically this is also fine.";
"NativeFileSystemView represents the underlying OS file system view - no more no less.";
"Caching is a specialized function.";
"So if necessary we can add another FileSystemManager implementation which will support caching.";
"But it may not be appropriate to add this in NativeFileSystem classes.";
